Year,EventRootCode,Articles_per_Event
1995,05,4.1114097148499269
1995,06,4.2494120053175175
1995,07,4.3394885963181187
1995,08,4.0709704316592905
1995,09,4.1087544017688966
1995,10,4.2431608566515555
1995,11,4.0642722480858762
1995,12,4.2064950495049507
1995,13,4.1771769445305234
1995,14,4.3375465591988762
1995,15,4.2588900308324771
1995,16,4.1095536379166848
1995,17,3.9494029202269827
1995,18,4.0075840500390933
1995,19,4.2510602547842735
1995,20,3.64352856109906
1996,01,4.46450993362113
1996,02,4.8063926604604381
1996,03,4.570209892259447
1996,04,4.5188238254823387
1996,05,4.6449486260763084
1996,06,4.7244187396030792
1996,07,4.9813930574503562
1996,08,4.7334547000534162
1996,09,4.7771906532129584
1996,10,4.9289477032701363
1996,11,4.6323271410618521
1996,12,4.8448184702150154
1996,13,4.8888888888888893
1996,14,5.17837794454031
1996,15,4.9960245978011057
1996,16,4.8015320555608527
1996,17,4.6240491264816486
1996,18,4.6381666064764655
1996,19,4.9690226563365414
1996,20,4.5837479270315091
1997,01,4.4478868697221445
1997,02,4.8438977287808269
1997,03,4.5886634428436111
1997,04,4.4986250292829171
1997,05,4.6793084126074129
1997,06,4.79757474748926
1997,07,4.9600107696013831
1997,08,4.5865063012123244
1997,09,4.6828389128273118
1997,10,4.8395445544554452
1997,11,4.570933065028596
1997,12,4.8239082626453031
1997,13,4.7585407823792591
1997,14,5.003661342060072
1997,15,4.90192283680859
1997,16,4.6611840475600692
1997,17,4.3444014794889041
1997,18,4.3006994888350825
1997,19,4.6853581980454662
1997,20,4.4912844036697246
1998,01,4.9560512054131651
1998,02,5.3290171891536806
1998,03,5.05398886691031
1998,04,4.9544019838681743
1998,05,5.0542961728080114
1998,06,5.1694119160983139
1998,07,5.4163287149907831
1998,08,5.2950344796125508
1998,09,5.5557778354687475
1998,10,5.2993078505954978
1998,11,5.1867558733140919
1998,12,5.402807658761474
1998,13,5.4060645571101418
1998,14,5.7246685546728155
1998,15,5.5037364290078488
1998,16,5.5024255878967274
1998,17,5.0961507028440671
1998,18,5.13724050463921
1998,19,5.5227456937764208
1998,20,5.0032331070158422
1999,01,5.0449687822568494
1999,02,5.3960800326663945
1999,03,5.1372802499775325
1999,04,5.0895821967584034
1999,05,5.1388498687835531
1999,06,5.2010478784755456
1999,07,5.43685497701511
1999,08,5.3675451380712662
1999,09,5.3816028863054672
1999,10,5.4246238183140347
1999,11,5.2662451109683381
1999,12,5.4836772526536546
1999,13,5.45197287951316
1999,14,5.5256156869711974
1999,15,5.6611229017943279
1999,16,5.3713236024227982
1999,17,5.0989726249697567
1999,18,5.1252736180118825
1999,19,5.6651271532867655
1999,20,4.7713954643270986
2000,01,4.8172657117363791
2000,02,5.1442233707408427
2000,03,4.9524566226799118
2000,04,4.8557727637057475
